Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_02_557.jpg;0;1;0;2.827159;103.2927;89.71747;1.355863;45.09159;-0.002077492
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_02_623.jpg;0;1;0;2.882949;103.4151;89.8399;1.359708;45.07512;-0.002148486
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_02_690.jpg;0;1;0;2.924636;103.5812;90.00567;1.36147;45.06519;-0.001881822
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_02_756.jpg;0;1;0;2.966174;103.7081;90.13198;1.36778;45.05643;-0.001535736
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_02_823.jpg;-1.498588;1;0;3.021086;103.8369;90.2598;1.372532;45.0159;-0.001431122
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_02_892.jpg;-4.500988;1;0;3.061545;104.013;90.43077;1.365248;44.50484;0.0006732316
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_02_956.jpg;-7.490654;1;0;3.102404;104.1495;90.5585;1.362896;43.67781;-0.001880862
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_03_023.jpg;-10.49985;1;0;3.152968;104.3385;90.72527;1.317253;41.95812;359.9207
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_03_090.jpg;-10.51033;1;0;3.18943;104.485;90.84678;1.209547;40.33904;359.8325
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_03_156.jpg;-7.514364;1;0;3.230111;104.6352;90.96679;1.069509;38.93262;359.7382
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_03_223.jpg;-4.507511;1;0;3.284834;104.789;91.08618;0.9344954;37.89108;359.6319
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_03_290.jpg;-1.511183;1;0;3.325087;104.9982;91.24676;0.777746;37.14157;359.532
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_03_356.jpg;0;1;0;3.37835;105.158;91.36909;0.6970832;36.98114;359.4958
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_03_423.jpg;0;1;0;3.416883;105.3207;91.49301;0.6676545;36.95325;359.4733
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_03_490.jpg;0;1;0;3.455362;105.5414;91.66097;0.6895115;36.972;359.4845
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_03_556.jpg;0;1;0;3.494104;105.7096;91.78895;0.7417982;36.99376;359.5254
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_03_623.jpg;0;1;0;3.545301;105.88;91.91863;0.822614;37.01875;359.5882
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_03_690.jpg;0;1;0;3.583634;106.1107;92.09418;0.971907;37.05285;359.6954
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_03_756.jpg;0;1;0;3.621204;106.286;92.22782;1.102416;37.08465;359.7954
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_03_823.jpg;0;1;0;3.672701;106.4631;92.36309;1.242564;37.11935;359.9081
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_03_890.jpg;0;1;0;3.710605;106.7028;92.5449;1.437073;37.13481;-0.00148977
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_03_956.jpg;0;1;0;3.747856;106.884;92.68076;1.467621;37.11157;-0.002371387
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_04_023.jpg;0;1;0;3.804968;107.0663;92.81746;1.433063;37.08787;-0.001233448
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_04_090.jpg;0;1;0;3.843468;107.3127;93.00201;1.417006;37.05539;-0.001114195
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_04_156.jpg;0;1;0;3.881094;107.5;93.14217;1.428134;37.02936;-0.001134324
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_04_222.jpg;0;1;0;3.930746;107.6893;93.28364;1.443288;37.00284;-0.001752126
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_04_289.jpg;0;1;0;3.969104;107.9443;93.47409;1.445593;36.97699;-0.001698483
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_04_356.jpg;0;1;0;4.007379;108.1378;93.61846;1.450011;36.95742;-0.001311229
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_04_422.jpg;0;1;0;4.057502;108.3331;93.76406;1.452118;36.93522;-0.001702331
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_04_489.jpg;0;1;0;4.094426;108.5964;93.9602;1.456195;36.90612;-0.001718347
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_04_556.jpg;0;1;0;4.132284;108.7961;94.10879;1.459766;36.88481;-0.001338618
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_04_623.jpg;0;1;0;4.181185;108.9976;94.2586;1.462937;36.86054;-0.001853079
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_04_689.jpg;0;1;0;4.218762;109.2692;94.46034;1.469303;36.8309;-0.001384689
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_04_759.jpg;0;1;0;4.25518;109.475;94.61303;1.469576;36.8068;-0.001773978
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_04_823.jpg;0;1;0;4.304586;109.6826;94.76698;1.473664;36.7827;-0.001785031
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_04_889.jpg;0;1;0;4.340729;109.9623;94.97417;1.479421;36.75105;-0.001304574
